File name,File size,Last modification time,File type,File extension,File digest,File geolocation
New Bitmap Image.bmp,0,1744751789.788418,image/bmp,BMP,d41d8cd98f00b204e9800998ecf8427e,None
germany-english-garden.jpg,1635675,1745762703.256878,image/jpeg,JPG,ce980b944780440297ff351a913cbb1b,(48.14572777777778, 11.58768888888889)
sherry-christian-8Myh76_3M2U-unsplash.jpg,2283322,1745762599.832172,image/jpeg,JPG,c2e72450cb0748f4c81a92870de4c017,None
deepest_file.txt,0,1744751756.5884821,text/plain,TXT,d41d8cd98f00b204e9800998ecf8427e,None
Ćw 5 (3).pdf,918751,1743941356.265142,application/pdf,PDF,4a25bc3f12a6a4e35fb3fd71d9cacda6,None
VBox.log,257062,1744244888.8553343,UNKNOWN,LOG,d5afb5fca0fad9a249ab7a31a31266e0,None
VBox.log.1,257183,1744213023.1065686,UNKNOWN,1,e948900d512a5ca0243751095b79d313,None
VBoxHardening.log,478582,1744244888.9147153,UNKNOWN,LOG,1e1cd9b970860602d9b6732c69e7bb1b,None
2025-04-10T00-28-02-688938700Z.sav,681835113,1744244887.8187437,UNKNOWN,SAV,8c8deda6ccaccdfff863783c4ab283bd,None
kali-linux-2025.1a-virtualbox-amd64-1.16.vbox,3024,1741357286.8531363,application/x-virtualbox-vbox,VBOX,f3584743220ccd41a4153d34276c8ab0,None
kali-linux-2025.1a-virtualbox-amd64.vbox,6325,1744244887.9659028,application/x-virtualbox-vbox,VBOX,b1c10992a52b6b8d44f3e68bd3f97f4e,None
kali-linux-2025.1a-virtualbox-amd64.vbox-prev,6268,1744244887.8350968,UNKNOWN,VBOX-PREV,9fd42de348186100d2523869df752e3a,None
kali-linux-2025.1a-virtualbox-amd64.vdi,15136523264,1744244878.4947865,application/x-virtualbox-vdi,VDI,ffddf946afe57f2df34788c3b4803fc6,None
Ćw 5 (1).pdf,918660,1743941201.1849267,application/pdf,PDF,b5c0ca2bc4dd1df8f2248d7dc3cf6931,None
Ćw 5 (2).pdf,918759,1743941314.0577364,application/pdf,PDF,657fa9f766a28e7c3356bfd1d0948284,None
CBE_cw4_gr4_pon_TN_13_v1.pdf,1814270,1743932802.839268,application/pdf,PDF,b00e06f9f620d36cffe23237fca5fea7,None
